,ID,Team,Conference,Season,GP,Wins,Losses,Points,FGM,FGA,TPM,TPA,NCAA
0,2,Adelphi,NE10,2008-09,26,18,8,1753,609,1354,153,451,0
1,2,Adelphi,NE10,2009-10,34,23,11,2400,810,1980,215,691,0
2,2,Adelphi,NE10,2010-11,31,20,11,2092,729,1735,176,530,1
3,2,Adelphi,NE10,2011-12,29,20,9,1823,641,1507,168,518,1
4,2,Adelphi,NE10,2012-13,29,14,15,1761,629,1545,148,436,0
5,2,Adelphi,NE10,2013-14,26,5,21,1558,569,1411,127,407,0
6,2,Adelphi,NE10,2014-15,26,6,20,1853,651,1499,208,593,0
7,2,Adelphi,NE10,2015-16,29,20,9,2315,793,1738,344,920,0
8,2,Adelphi,NE10,2016-17,30,18,12,2595,908,1807,316,850,0
9,2,Adelphi,NE10,2017-18,29,11,18,2484,859,1821,345,960,0
10,2,Adelphi,NE10,2018-19,29,19,10,2369,848,1700,324,803,0
11,3,American Int'l,NE10,2008-09,28,15,13,1845,652,1584,109,408,0
12,3,American Int'l,NE10,2009-10,28,14,14,1918,662,1591,174,549,0
13,3,American Int'l,NE10,2010-11,30,21,9,2101,756,1729,178,499,1
14,3,American Int'l,NE10,2011-12,26,8,18,1543,563,1359,178,472,0
15,3,American Int'l,NE10,2012-13,26,9,17,1679,602,1502,221,614,0
16,3,American Int'l,NE10,2013-14,27,9,18,1751,646,1555,209,641,0
17,3,American Int'l,NE10,2014-15,31,24,7,2402,865,1890,247,679,1
18,3,American Int'l,NE10,2015-16,27,11,16,1999,670,1597,214,621,0
19,3,American Int'l,NE10,2016-17,28,11,17,2038,678,1570,222,596,0
20,3,American Int'l,NE10,2017-18,28,11,17,1833,649,1586,176,578,0
21,3,American Int'l,NE10,2018-19,28,11,17,1968,721,1675,212,639,0
22,8,Assumption,NE10,2008-09,33,23,10,2474,914,2020,234,630,1
23,8,Assumption,NE10,2009-10,29,14,15,2168,795,1854,148,465,0
24,8,Assumption,NE10,2010-11,30,13,17,2223,786,1936,223,696,0
25,8,Assumption,NE10,2011-12,28,14,14,1880,677,1507,199,545,0
26,8,Assumption,NE10,2012-13,30,22,8,2014,729,1612,172,480,1
27,8,Assumption,NE10,2013-14,26,7,19,1666,605,1563,137,494,0
28,8,Assumption,NE10,2014-15,27,8,19,1832,672,1562,100,331,0
29,8,Assumption,NE10,2015-16,26,6,20,1918,668,1554,279,713,0
30,8,Assumption,NE10,2016-17,28,7,21,2012,756,1673,219,564,0
31,8,Assumption,NE10,2017-18,27,7,20,1817,641,1463,242,664,0
32,8,Assumption,NE10,2018-19,28,8,20,1874,701,1575,221,644,0
33,9,Bentley,NE10,2008-09,33,26,7,2627,924,1971,281,756,1
34,9,Bentley,NE10,2009-10,33,26,7,2395,861,1996,241,754,1
35,9,Bentley,NE10,2010-11,33,25,8,2325,799,1858,279,793,1
36,9,Bentley,NE10,2011-12,28,16,12,1990,679,1616,303,793,0
37,9,Bentley,NE10,2012-13,26,11,15,1722,622,1512,198,587,0
38,9,Bentley,NE10,2013-14,29,18,11,2365,834,1770,294,733,0
39,9,Bentley,NE10,2014-15,29,17,12,2318,810,1723,276,730,0
40,9,Bentley,NE10,2015-16,30,21,9,2500,891,1886,319,817,1
41,9,Bentley,NE10,2016-17,27,14,13,2201,772,1692,242,618,0
42,9,Bentley,NE10,2017-18,28,16,12,2235,822,1731,241,615,0
43,9,Bentley,NE10,2018-19,29,19,10,2309,811,1728,253,644,0
44,20,Bloomfield,CACC,2008-09,27,21,9,2166,781,1781,173,487,0
45,20,Bloomfield,CACC,2009-10,27,19,9,2251,813,1879,176,572,0
46,20,Bloomfield,CACC,2010-11,33,23,10,2856,1013,2233,277,726,1
47,20,Bloomfield,CACC,2011-12,33,26,8,2481,923,2196,183,611,1
48,20,Bloomfield,CACC,2012-13,30,17,13,2240,793,1961,208,652,1
49,20,Bloomfield,CACC,2013-14,30,21,9,2338,827,1916,215,653,1
50,20,Bloomfield,CACC,2014-15,27,11,16,2125,781,1762,162,508,0
51,20,Bloomfield,CACC,2015-16,28,15,13,2165,758,1689,160,430,0
52,20,Bloomfield,CACC,2016-17,32,22,10,2572,921,2113,199,583,1
53,20,Bloomfield,CACC,2017-18,32,24,8,2707,965,2159,257,678,1
54,20,Bloomfield,CACC,2018-19,31,21,10,2626,971,2172,284,820,0
55,32,Bridgeport,ECC,2008-09,26,18,8,1977,727,1552,187,481,1
56,32,Bridgeport,ECC,2009-10,31,21,10,2430,926,1948,188,546,1
57,32,Bridgeport,ECC,2010-11,27,18,9,2068,772,1676,207,533,0
58,32,Bridgeport,ECC,2011-12,29,19,10,2199,812,1839,139,520,0
59,32,Bridgeport,ECC,2012-13,33,23,10,2390,867,1981,211,615,1
60,32,Bridgeport,ECC,2013-14,29,18,11,2371,852,1831,223,640,1
61,32,Bridgeport,ECC,2014-15,31,24,7,2512,881,1885,270,657,1
62,32,Bridgeport,ECC,2015-16,31,15,16,2485,885,1966,265,733,0
63,32,Bridgeport,ECC,2016-17,30,18,12,2512,926,1943,226,631,0
64,32,Bridgeport,ECC,2017-18,31,25,6,2731,1004,2221,289,743,1
65,32,Bridgeport,ECC,2018-19,31,18,13,2799,1026,2254,276,798,0
66,18,Caldwell,CACC,2008-09,31,14,17,2216,785,1731,163,522,0
67,18,Caldwell,CACC,2009-10,26,5,22,1639,609,1443,107,373,0
68,18,Caldwell,CACC,2010-11,26,11,16,1812,630,1495,102,323,0
69,18,Caldwell,CACC,2011-12,26,14,12,1947,708,1486,142,406,0
70,18,Caldwell,CACC,2012-13,27,8,19,1908,693,1535,125,397,0
71,18,Caldwell,CACC,2013-14,29,17,12,2221,762,1645,132,427,0
72,18,Caldwell,CACC,2014-15,28,15,13,2087,719,1552,152,421,0
73,18,Caldwell,CACC,2015-16,26,9,17,1791,644,1534,165,492,0
74,18,Caldwell,CACC,2016-17,29,17,12,2190,734,1711,233,685,0
75,18,Caldwell,CACC,2017-18,29,16,13,2141,754,1659,183,532,0
76,18,Caldwell,CACC,2018-19,29,17,12,2119,750,1695,167,532,0
77,28,Chestnut Hill,CACC,2008-09,27,7,20,1866,655,1658,182,518,0
78,28,Chestnut Hill,CACC,2009-10,25,9,16,1798,638,1523,150,461,0
79,28,Chestnut Hill,CACC,2010-11,30,12,18,2120,735,1757,172,560,0
80,28,Chestnut Hill,CACC,2011-12,30,18,12,2181,746,1720,176,469,0
81,28,Chestnut Hill,CACC,2012-13,27,12,15,2012,704,1679,168,504,0
82,28,Chestnut Hill,CACC,2013-14,27,10,17,1803,632,1548,127,411,0
83,28,Chestnut Hill,CACC,2014-15,26,6,20,1854,631,1538,175,513,0
84,28,Chestnut Hill,CACC,2015-16,28,13,15,2042,707,1652,190,554,0
85,28,Chestnut Hill,CACC,2016-17,26,5,21,1754,616,1575,152,494,0
86,28,Chestnut Hill,CACC,2017-18,26,5,21,1875,667,1525,183,528,0
87,28,Chestnut Hill,CACC,2018-19,28,3,25,1956,712,1700,161,519,0
88,21,Concordia (N.Y.),CACC,2008-09,0,0,0,0,0,0,0,0,0
89,21,Concordia (N.Y.),CACC,2009-10,25,7,18,1726,672,1548,96,338,0
90,21,Concordia (N.Y.),CACC,2010-11,27,9,18,2081,772,1735,168,478,0
91,21,Concordia (N.Y.),CACC,2011-12,27,12,15,2072,744,1772,182,523,0
92,21,Concordia (N.Y.),CACC,2012-13,28,13,15,2198,785,1762,190,489,0
93,21,Concordia (N.Y.),CACC,2013-14,25,5,20,1761,663,1672,135,448,0
94,21,Concordia (N.Y.),CACC,2014-15,28,11,17,2040,773,1830,177,544,0
95,21,Concordia (N.Y.),CACC,2015-16,29,13,16,2302,824,1904,260,715,0
96,21,Concordia (N.Y.),CACC,2016-17,28,10,18,2155,766,1823,216,635,0
97,21,Concordia (N.Y.),CACC,2017-18,28,12,16,2145,780,1794,221,677,0
98,21,Concordia (N.Y.),CACC,2018-19,28,9,19,2066,753,1832,228,707,0
99,30,Daemen,ECC,2008-09,0,0,0,0,0,0,0,0,0
100,30,Daemen,ECC,2009-10,0,0,0,0,0,0,0,0,0
101,30,Daemen,ECC,2010-11,0,0,0,0,0,0,0,0,0
102,30,Daemen,ECC,2011-12,0,0,0,0,0,0,0,0,0
103,30,Daemen,ECC,2012-13,0,0,0,0,0,0,0,0,0
104,30,Daemen,ECC,2013-14,29,21,8,2420,868,1837,163,511,0
105,30,Daemen,ECC,2014-15,31,21,10,2473,867,1836,250,674,0
106,30,Daemen,ECC,2015-16,31,20,11,2631,887,1942,255,676,0
107,30,Daemen,ECC,2016-17,30,19,11,2264,804,1822,260,713,0
108,30,Daemen,ECC,2017-18,30,22,8,2300,846,1778,230,634,0
109,30,Daemen,ECC,2018-19,30,24,6,2455,872,1849,255,659,1
110,38,Dist. Columbia,ECC,2008-09,0,0,0,0,0,0,0,0,0
111,38,Dist. Columbia,ECC,2009-10,0,0,0,0,0,0,0,0,0
112,38,Dist. Columbia,ECC,2010-11,0,0,0,0,0,0,0,0,0
113,38,Dist. Columbia,ECC,2011-12,28,22,6,2289,817,1838,207,569,1
114,38,Dist. Columbia,ECC,2012-13,26,6,20,1849,658,1589,189,561,0
115,38,Dist. Columbia,ECC,2013-14,26,3,23,1721,621,1544,172,488,0
116,38,Dist. Columbia,ECC,2014-15,28,5,23,2137,755,1810,240,684,0
117,38,Dist. Columbia,ECC,2015-16,29,15,14,2418,856,1849,204,570,0
118,38,Dist. Columbia,ECC,2016-17,27,14,13,2158,751,1683,211,590,0
119,38,Dist. Columbia,ECC,2017-18,27,7,20,2013,735,1689,143,475,0
120,38,Dist. Columbia,ECC,2018-19,29,15,14,2228,796,1878,251,719,0
121,16,Dominican (N.Y.),CACC,2008-09,32,14,19,2314,819,1855,156,473,0
122,16,Dominican (N.Y.),CACC,2009-10,34,15,19,2205,815,1860,183,535,0
123,16,Dominican (N.Y.),CACC,2010-11,31,17,14,2244,796,1752,189,546,0
124,16,Dominican (N.Y.),CACC,2011-12,28,19,9,1997,741,1686,156,463,0
125,16,Dominican (N.Y.),CACC,2012-13,29,22,7,2151,775,1720,160,477,1
126,16,Dominican (N.Y.),CACC,2013-14,28,18,10,2227,798,1677,153,449,0
127,16,Dominican (N.Y.),CACC,2014-15,27,14,13,2012,725,1452,141,409,0
128,16,Dominican (N.Y.),CACC,2015-16,29,10,19,1915,680,1566,155,471,0
129,16,Dominican (N.Y.),CACC,2016-17,31,19,12,2240,811,1903,190,608,0
130,16,Dominican (N.Y.),CACC,2017-18,31,21,10,2224,796,1897,180,551,0
131,16,Dominican (N.Y.),CACC,2018-19,32,24,8,2573,919,2018,251,661,1
132,17,Felician,CACC,2008-09,29,19,11,2154,793,1795,143,461,0
133,17,Felician,CACC,2009-10,31,24,7,2389,895,1811,160,434,1
134,17,Felician,CACC,2010-11,27,14,13,1924,704,1565,139,426,0
135,17,Felician,CACC,2011-12,26,7,19,1686,623,1612,140,477,0
136,17,Felician,CACC,2012-13,27,12,15,2063,768,1757,167,496,0
137,17,Felician,CACC,2013-14,26,6,20,1958,721,1668,144,430,0
138,17,Felician,CACC,2014-15,25,6,19,1760,669,1546,139,439,0
139,17,Felician,CACC,2015-16,25,9,16,1610,604,1446,162,471,0
140,17,Felician,CACC,2016-17,27,10,17,1966,693,1676,217,634,0
141,17,Felician,CACC,2017-18,28,12,16,2176,769,1755,254,637,0
142,17,Felician,CACC,2018-19,27,14,13,2244,813,1862,236,669,0
143,10,Franklin Pierce,NE10,2008-09,28,11,17,1793,611,1556,197,596,0
144,10,Franklin Pierce,NE10,2009-10,27,12,15,1947,694,1669,190,627,0
145,10,Franklin Pierce,NE10,2010-11,27,6,21,1835,627,1661,221,647,0
146,10,Franklin Pierce,NE10,2011-12,30,22,8,2124,763,1703,218,569,1
147,10,Franklin Pierce,NE10,2012-13,33,24,9,2399,872,1914,211,628,1
148,10,Franklin Pierce,NE10,2013-14,29,21,8,2315,815,1794,251,672,1
149,10,Franklin Pierce,NE10,2014-15,28,15,13,2108,757,1717,293,794,0
150,10,Franklin Pierce,NE10,2015-16,28,16,12,2115,748,1691,262,702,0
151,10,Franklin Pierce,NE10,2016-17,28,15,13,2250,829,1744,235,631,0
152,10,Franklin Pierce,NE10,2017-18,26,14,12,2047,750,1618,217,596,0
153,10,Franklin Pierce,NE10,2018-19,29,15,14,2339,828,1878,311,864,0
154,29,Georgian Court,CACC,2008-09,0,0,0,0,0,0,0,0,0
155,29,Georgian Court,CACC,2009-10,0,0,0,0,0,0,0,0,0
156,29,Georgian Court,CACC,2010-11,0,0,0,0,0,0,0,0,0
157,29,Georgian Court,CACC,2011-12,0,0,0,0,0,0,0,0,0
158,29,Georgian Court,CACC,2012-13,0,0,0,0,0,0,0,0,0
159,29,Georgian Court,CACC,2013-14,26,2,24,1785,639,1555,130,488,0
160,29,Georgian Court,CACC,2014-15,26,5,21,1733,606,1520,123,417,0
161,29,Georgian Court,CACC,2015-16,26,5,21,1735,619,1476,150,477,0
162,29,Georgian Court,CACC,2016-17,28,1,27,1723,635,1577,162,551,0
163,29,Georgian Court,CACC,2017-18,27,5,22,1844,661,1593,139,506,0
164,29,Georgian Court,CACC,2018-19,28,4,24,1925,705,1700,180,581,0
165,27,Goldey-Beacom,CACC,2008-09,25,10,15,1643,596,1378,123,363,0
166,27,Goldey-Beacom,CACC,2009-10,28,18,10,2117,744,1567,174,464,0
167,27,Goldey-Beacom,CACC,2010-11,29,18,12,2138,725,1675,207,566,0
168,27,Goldey-Beacom,CACC,2011-12,29,18,11,2072,747,1686,164,474,0
169,27,Goldey-Beacom,CACC,2012-13,26,8,18,1821,657,1621,154,532,0
170,27,Goldey-Beacom,CACC,2013-14,25,9,16,1677,596,1462,154,443,0
171,27,Goldey-Beacom,CACC,2014-15,28,8,20,1879,664,1601,169,532,0
172,27,Goldey-Beacom,CACC,2015-16,28,10,18,1989,710,1631,185,528,0
173,27,Goldey-Beacom,CACC,2016-17,27,20,7,2196,808,1633,200,556,0
174,27,Goldey-Beacom,CACC,2017-18,30,20,10,2342,803,1852,246,660,0
175,27,Goldey-Beacom,CACC,2018-19,30,15,15,2424,854,1902,260,712,0
176,25,Holy Family,CACC,2008-09,24,6,18,1617,587,1436,121,366,0
177,25,Holy Family,CACC,2009-10,17,1,17,1122,436,987,82,265,0
178,25,Holy Family,CACC,2010-11,27,6,21,1853,626,1589,189,591,0
179,25,Holy Family,CACC,2011-12,26,12,14,1823,630,1439,198,561,0
180,25,Holy Family,CACC,2012-13,27,18,9,1877,645,1564,199,605,0
181,25,Holy Family,CACC,2013-14,30,21,9,2175,741,1774,287,834,0
182,25,Holy Family,CACC,2014-15,30,22,8,2295,787,1800,305,914,0
183,25,Holy Family,CACC,2015-16,32,26,6,2472,850,2081,327,1093,1
184,25,Holy Family,CACC,2016-17,28,11,17,2165,753,1814,248,842,0
185,25,Holy Family,CACC,2017-18,27,4,23,1866,633,1673,261,824,0
186,25,Holy Family,CACC,2018-19,27,14,13,2088,751,1706,210,674,0
187,24,Jefferson,CACC,2008-09,25,20,6,1652,570,1248,153,443,1
188,24,Jefferson,CACC,2009-10,27,30,9,1900,672,1489,176,509,1
189,24,Jefferson,CACC,2010-11,21,16,12,1364,499,1058,107,314,0
190,24,Jefferson,CACC,2011-12,29,19,10,2009,724,1548,200,521,1
191,24,Jefferson,CACC,2012-13,29,19,10,2017,714,1631,184,576,0
192,24,Jefferson,CACC,2013-14,32,25,7,2342,833,1764,205,565,1
193,24,Jefferson,CACC,2014-15,32,24,8,2293,832,1754,204,574,1
194,24,Jefferson,CACC,2015-16,32,23,9,2279,818,1773,164,467,1
195,24,Jefferson,CACC,2016-17,30,21,9,2232,776,1733,283,747,0
196,24,Jefferson,CACC,2017-18,35,21,14,2530,876,1936,301,847,1
197,24,Jefferson,CACC,2018-19,30,22,8,2292,817,1722,212,568,0
198,4,Le Moyne,NE10,2008-09,31,20,11,2215,837,1735,199,566,0
199,4,Le Moyne,NE10,2009-10,28,18,10,2075,769,1525,137,397,0
200,4,Le Moyne,NE10,2010-11,29,12,16,1839,676,1516,165,491,0
201,4,Le Moyne,NE10,2011-12,23,12,11,1569,579,1256,173,454,0
202,4,Le Moyne,NE10,2012-13,27,13,14,1767,667,1457,173,491,0
203,4,Le Moyne,NE10,2013-14,29,17,12,2072,741,1526,174,501,1
204,4,Le Moyne,NE10,2014-15,29,16,13,1939,700,1518,157,459,0
205,4,Le Moyne,NE10,2015-16,27,10,17,1827,657,1495,220,635,0
206,4,Le Moyne,NE10,2016-17,29,22,7,2135,767,1621,266,696,1
207,4,Le Moyne,NE10,2017-18,34,27,7,2478,914,1871,281,766,1
208,4,Le Moyne,NE10,2018-19,28,18,10,1979,709,1570,234,684,1
209,34,LIU Post,ECC,2008-09,23,23,0,2072,726,1418,214,512,1
210,34,LIU Post,ECC,2009-10,26,22,4,2113,806,1583,143,452,0
211,34,LIU Post,ECC,2010-11,33,23,10,2593,915,1979,258,683,1
212,34,LIU Post,ECC,2011-12,29,23,6,2420,845,1860,186,521,1
213,34,LIU Post,ECC,2012-13,27,18,9,2110,753,1600,154,422,0
